Title,PID
"Reinoldes, Roland",reed:7155dc22-2d4d-4e89-ad37-0d201e08875a
"Saunderson , William",reed:08ea66ba-11d8-4f41-9b73-672454d04587
"Dekker, Thomas",reed:4beecbe8-89c5-42b7-a96f-0682c580c428
"Farnley , Adrian",reed:b219e4bd-5920-4483-8b65-6714626ed577
"Rastell, William",reed:34e04bf9-b0bc-4f0d-8c90-b58f1a89e7fb
"Lawes, William",reed:0b6a10ca-cadc-480d-882c-ea5e198cdaec
"Beaumont, Francis",reed:55c2e462-a7fc-4545-a4b9-5a5f6dca054d
"Bouthe, Edmund",reed:6618c650-dfd9-4cbe-b8e7-99d036cc09ed
"Prest, Wilfrid",reed:c8b36021-fff9-4447-a8e4-071bb1e17c2e
"Barwicke, Robert",reed:987d1814-0058-4746-83a6-47ed51b56ec3
"Bentley, Charles",reed:02b4cb2e-835f-4511-b05b-b13a63c8714d
"Broket, …",reed:ba297132-1609-455a-829e-0253edda1fdd
"Browne , Humphrey",reed:51eed54f-75e6-4d62-891f-c1a80a5ff307
"Richardson, Walter Cecil",reed:b040c845-c46b-41cc-befa-a07a78c96dc2
"Streklond, Walter",reed:421d1b2c-3be0-4db1-96df-82f04d431fbb
"Moseley , Edward",reed:a284c113-7521-4093-9cd2-65422bd5ad7c
"Welsford, Enid",reed:84c95e18-35e4-4861-b9c0-b16cab359626
"Goring, George",reed:99db8af0-6a92-4a15-b698-733d6b6adc45
"Ratcliffe , ...",reed:09ba444d-b80d-4373-a6b9-e03b98406c1d
"Bellyngham, John",reed:3aa82b6d-4297-40d8-a7cc-8282382105b6
"Wythe , Robert",reed:a9e2ca70-a017-4b6f-8826-3d8bb92da9e7
"Donne, John",reed:30707dfa-8a33-4fc9-ad48-d2dc7c982ca3
"Molyneux , Darkenall",reed:71a978e3-a893-4959-b6fa-b22df89a5838
"Brewer, Thomas",reed:a712f968-793d-4e17-a38f-f287ada2176f
"Whitfield , Ralph",reed:f2cb6bf5-fbce-44e5-b06d-d8582717d9c0
"Pryce , John",reed:70c084dc-3b75-4895-b90c-a11aee1ec00a
"Noke , Thomas",reed:3868bd0f-9b97-43d8-b8c1-4269d69d7fc7
"Lacton , John",reed:b6dacb3e-d649-44cd-924b-9e33865e8235
"Middleton, Thomas",reed:b1fbb98e-50de-4be5-a8e4-e6988c336e5e
"Hooker, William",reed:d75fe219-4b91-49fb-a7ec-7f6c640f2fbc
"Woodfill, Walter L.",reed:bce44b56-13f6-4193-b7d6-28e585f955d3
"Bryscowe, William",reed:7d2766a9-724b-4e24-a5bb-2f2bad57edad
"Hamelen, Robert",reed:9e9e9a8d-2b52-4e5f-88a7-1d6934db8272
"Conyers , Christopher",reed:f466494e-6470-461b-9a50-242a3c9da450
"Dewell, Henry",reed:e44bd1e9-9f23-48ea-9cbd-099fbf3d3a5f
"Nevill, William",reed:920bda28-0c20-4bfb-baae-c559ee0ee009
"Uvedale , William",reed:95abfa7a-cb30-4242-b935-3a08e98639bc
"Davison, Francis",reed:34bccae0-639e-4830-90af-ae63f30da018
"Staverton , Francis",reed:4c66d972-40a2-43dc-b511-8a8fdd5e7db9
"Wilson, Henry",reed:a4052366-5358-48e8-9361-eeb24f8a92db
"Chapman, George",reed:8819df8c-83bb-4dbc-b605-6e22be78f0f5
"Sparrow, Thomas",reed:04982ede-da11-4d26-a197-5ee13975664c
"Pepys , Thomas",reed:234d9534-528b-49f3-82bd-cec817f3de5e
"Evers , Ralph",reed:0b6159d1-3ef1-4e8f-ba51-04afc06083b7
"Fane, Mildmay",reed:8032dc78-6a9b-4600-9062-2f862a153909
"Legh, Gerrard",reed:5253a99b-c91f-462f-ae14-bd5599cd8269
"Wotton, William",reed:e09a31bd-8a31-42f4-b9dd-529c3b88ef23
"Saunderson , Thomas",reed:454e2d83-dcfe-445a-ae69-078138b3988c
"Bradbury, …",reed:ce22d51c-8523-40dd-a497-bb47b24fc88a
"Puckering , John",reed:2d579407-ed21-4c7b-bcb6-5708dc82da38
"Knight, Sarah",reed:4bfdc324-2bed-4052-ad91-551be75b3fa4
"Carrill , John",reed:5b21c618-4420-44ef-851a-87cf0b580980
"Herbert, Gerard",reed:329b53f6-7259-4d9a-ae85-e5aa66a5014e
"Phelips , Edward",reed:451e89a0-c4fb-4a69-a64a-faf70cc91a29
"Tanfielde, John",reed:910235bc-4017-4f01-9ed5-34de2b0eb1d2
"Westley, …",reed:23555792-4414-4d42-ac33-b0eb3df5f264
"Berkeley, Henry",reed:401ff359-0c5c-4660-bd72-8a2087f364a5
"Barker, Samuel",reed:455bd3c2-4a32-4980-abb4-70e129b831f1
"Hetlen , Thomas",reed:b0c8c074-eed0-43ab-b2ea-b7ddaa90ab5b
"Andrewes, William",reed:960aaa81-cc8c-4c6f-9856-4a9601f622d3
"Coke , Edward",reed:e58fe226-621c-4f43-aaf6-419510bad15a
"McGee, C.E.",reed:1fb76dab-9df5-4d6c-a03a-c3f2b8ed970c
"Skiddye, Andrew",reed:f9d27775-756c-4d85-a53f-b05f1f5f7d37
"Bacon, Nicholas",reed:f81c4a58-becf-4269-b9c3-c79f3e8e61e1
"Moore, Francis",reed:2b756173-9426-42d9-b398-316475b9eb80
"Jacob, Robert",reed:216f7656-3f5c-4986-aeae-b887e972a413
"Tevery, Jarvis",reed:b8164caa-185d-4208-9159-79e76427a441
"Bellen , Thomas",reed:2d5933b5-ed1d-442b-98ea-7f9104710f13
"Chamberlain, John",reed:801738f1-1414-4ccd-bf37-e933dc764dbb
"Montagu , Henry",reed:30867961-a271-4219-8415-7703c5f0a551
"Elliott, John R., Jr.",reed:48ad6254-60b9-4158-bc60-a146c729354e
"Lathom , William",reed:f0b44f74-0156-4eb5-8ad1-2190c37847a1
"Gerling , Nathaniel",reed:cec2cc46-e96f-4fbe-9c11-cb555af09933
"Keble , John",reed:045f83e2-1449-487e-b461-eb950d73ddf1
"Lister, John",reed:b576d21e-5dbd-4dba-881d-87a6fbfb0715
"Hudson, …",reed:b36a956a-ce5d-4fca-a1ca-ab790259b1f1
"Noy , William",reed:46b4d62b-0c3f-4beb-a773-ee674c38f2cd
"Grantham , Vincent",reed:abb5b721-ecc0-4f70-a13b-cf895f8aa63f
"Temple, Thomas",reed:d5ddf4dd-bdf0-4f98-80a1-e610df31cd8e
"Stow, John",reed:f5507770-c488-4548-90b4-4b1b709e648b
"Conyers , John",reed:5587f95e-bbb3-49ac-96b1-7ff87d8f9848
"Smalman, Francis",reed:a836cab7-9a8e-4999-937d-9b5cfc160062
"Lancaster, …",reed:ca6d9719-cb8d-46c1-a5c4-a7268f78685a
"Hill, Robert",reed:94aff4be-38cd-409f-889b-537f642a0d01
"Grave, Anthony",reed:bd08211c-5ad7-44ae-86cb-b4b92abcb8eb
"Willis , Thomas",reed:aa312296-a900-46cc-8459-0560be0221f8
"Young, Alan",reed:b504765c-6e0a-41d3-be07-70f218a4ba0b
"Proctor, Thomas",reed:a16e7644-fe79-4b05-accc-80ad4c2baf10
"Escourt , Thomas",reed:e906a15a-e170-4c46-bf55-995c13efbcc9
"Griffyn , Richard",reed:890b58ba-50ee-4c2c-96c5-c939e838b6b4
"Evans, Hugh",reed:a03394bc-65f3-405c-99de-0414f73c3c95
"Waller , Thomas",reed:77bbc629-e58c-4d94-beff-5979f38baf77
"Tounesend, Roger",reed:05336cf4-d981-41e2-8ecf-44c249ec2023
"Saunderson , Robert",reed:65c5e08b-cac9-4ab3-a8a4-af1501dd63bf
"Brokellysby , Robert",reed:e4fa8afb-4921-42cc-acfa-5397d14e6413
"Gell, Thomas",reed:edb5cf32-c6c2-470c-84b7-6d1e1e7daa5a
"Ferne, William",reed:6fadafde-f401-48f9-af0e-f32f2c466e0c
"Hart, Henry",reed:5838f5e8-a8aa-4adf-b2ad-c40ee07c587e
"Elwes , Gervase",reed:dbe22d42-447e-4fed-94fe-8a95aa0e4634
"Uvedale , Thomas",reed:00d9ce63-301f-4a6d-bcbc-205399491f7a
"Edwards, Richard",reed:bba34816-6995-4786-98f4-13c4461b004f
"Radcliffe, Henry",reed:691af3f5-d993-4305-b065-95743e5f2193
"Bowes, Robert",reed:30096132-03a2-41e3-9061-7077dde77a29
"Guilpin, Everard",reed:841c53f8-203e-4f67-99bf-17314a03f0b6
"Blewcok , Christopher",reed:abe2f981-7354-4b8c-8517-e537dc16a81e
"Fletcher, Anthony",reed:f20c4ea4-b26a-4b20-8fce-2ae81f131a9b
"Goldring, Elizabeth",reed:57365207-c6dc-4d70-8c5d-e55de8c86419
"Fisher , Edward",reed:31a77746-b432-4b05-8d7b-d63e37e46059
"Wentworth , Thomas",reed:464ddb4e-937c-449f-8711-1bdcc2fead5f
"Paylor, Edward",reed:c2acb373-86d3-41b0-b097-6d407105028e
"Manser, Henry",reed:5dcdacaf-af2a-4c95-92d1-10c868ea7b28
"Winwood, Ralph",reed:4a3bd0f1-2b46-4a44-a45e-dc750b04efb0
"Daniell , John",reed:ec1731aa-60af-4cec-b180-0dd783eeee5f
"Povey, John",reed:6fccde15-3892-48b5-ab5d-6c0bcc6b8eec
"Turner , Christopher",reed:e2a9067a-4a6f-4835-ace8-eed7a4186903
"Doughtie, …",reed:698b9bdd-dd11-48a5-bb16-f10321ec39a1
"Dowland, John",reed:8a7a2d52-d1b3-4435-bd26-22350f375844
"Gates, Geoffrey",reed:a57eba95-28ff-4f68-bbda-16010601083d
"Angeir , Richard",reed:a44e70b9-1061-4d88-8083-8b84f089cf6c
"Foster, Reginald",reed:dfa54a4f-9203-4d88-afc8-047f33e4333c
"Carmynowe , John",reed:f5c28e43-508c-4c1a-b154-7bbbcd14126b
"Simpson, Percy",reed:ee8fc438-af45-4273-85a4-56801e388dc1
"Graunte, Ralph",reed:2e020a26-ccb4-44ce-ad9e-7910d8a2e920
"Bold, Thomas",reed:4965e9fb-3d8f-4a2d-a72c-8d0e3acee55b
"Finch , John",reed:09e7808c-c629-4475-b339-cc6683c0f87d
"Woodhouse , Thomas",reed:e4cd6769-0818-45e2-9e41-6ab1e308babb
"Stuart , Esmé",reed:05d291d9-904f-4cae-bdcf-680810746291
"James IV",reed:a9556b73-0e1e-465a-90bc-b1f276fd0fbe
"Jonson, Ben",reed:13f0d3f0-cbd2-4c3a-b61b-c2553bead0cf
"Fulbeck, William",reed:9b17aca1-6b1e-4ee3-b738-2bee182c8807
"Norton, ",reed:f6139c81-cd4c-4a64-bc17-99ce128ee2db
"Lawson, Ralph",reed:e5dad618-2f27-42b6-aeec-12e6554aae35
"Boleyn, Anne",reed:f3e34fb7-bde1-4c29-b379-277a2e4c7990
"Hamilton, James",reed:31632037-a759-48b8-aa2e-fe92ac3a35b2
"Pounde , Thomas",reed:0b82181b-5d65-4dab-816a-2c23189a8566
"Huddylston, Edmund",reed:ccd7bb78-0f9b-4229-a8f6-a5a45d13e771
"Gygges, John",reed:80f17d74-410e-4846-9c20-ae59847ec19a
"Smyth , James",reed:0b91b823-ee25-41fc-9cd0-9de6ae619030
"Bell, Richard",reed:3264dcfc-36f7-47f2-af15-d94a4a8ef665
"Darcy, Thomas",reed:282bea11-79fd-4598-834f-20a56081400c
"Fletcher, Reginald J.",reed:7211ba2d-9106-4d41-905a-d1c66baec20a
"Jones, Robert",reed:600c8aa6-15ce-4b32-9d76-3dd7be37e9dd
"Cheeke, Thomas",reed:66255b38-8a06-4c3f-b930-064dc6a9c26a
"Leach, Henry",reed:3c396639-e6b8-49ca-96a7-b83b0a594ff0
"Pettye, John",reed:cf7e7d60-c8ff-4c96-baec-e75cc18e092c
"Denny , Thomas",reed:223820ff-f02b-4ba5-98f4-92c261993944
"Porter, …",reed:1d163b77-9671-499c-9456-f6fb6791cf8c
"Plowden, ...",reed:7a99979a-623a-4892-9508-af83c1a80308
"Lambarde , William",reed:cb6ae000-8eb6-494f-aebf-97b41afc8e19
"Knightley , Edmund",reed:c61fceba-1e7b-4e13-8df4-b75f7a98f356
"Bramston, John",reed:4871af11-d410-4acf-afe5-b26ee4f5e101
"Morse, Thomas",reed:db0cf4f6-78d8-4a9a-be00-7ba94bec0c11
"Digby, George",reed:84298945-cb64-4362-bf97-b5c6e681c427
"Bankes, John",reed:c8765898-b294-490e-a704-1c977a72ecc2
"Chamberlain , Peter",reed:7ef21669-7251-42a0-b0cb-826f8ae74d55
"Elam, Edward",reed:b4fed417-ec71-4e35-8df5-8c660c22ad71
"Pakington , John",reed:4583a196-33d5-489e-97bb-6396d41d80f2
"Willoughby , Thomas",reed:a8c45cea-950d-4cd5-91b9-dc7d29dc569c
"Blount , Richard",reed:d53952f2-2d6d-4b36-ac23-7d8b78bc7d2e
"Bastard , William",reed:f6b9ea4e-4383-4041-a9b6-4583ac4e447f
"Rawley , George",reed:fcf2a56e-88bf-4f83-84ad-6157ac98b74a
"Wright, Thomas",reed:d929a44f-9a52-4e41-8e7c-70f6c9860d07
"Bate, Thomas",reed:90b9b84a-cd1a-48a4-9a37-bdc26ce6c5c1
"Cutting, Thomas",reed:e0541ae5-b38b-4560-8208-1b5ebc518d96
"Parker, William",reed:9811c7dc-0756-4e3e-a3f8-1ce5d19ef5ce
"Crofts, William",reed:183d208e-ee99-408b-89ce-363d72eb0ff0
"Mildmay, Frances",reed:9c40d4a8-7d39-487d-a091-13892e6c5ef0
"Blount , Arthur",reed:7b48df05-c4e4-4287-9db9-3b393b7986ce
"Morris , John",reed:70630442-77a5-47ff-bb6a-b35d4471561d
"Browne , Thomas",reed:81fa2670-8fc0-4362-b76d-1a33bd089220
"Cole , Thomas",reed:6218a1ed-033d-4f24-81ac-1af9d6294acc
"Rose, Tobias",reed:e917ab01-107f-408a-8460-0397a606cca1
"Swetenam , Lawrence",reed:90949990-6c59-48d9-b968-f19aa4b33d2d
"Evelyn, John",reed:384c8fe4-010c-4d7c-b9f1-9805fa757362
"Heath, James",reed:f2984b23-7736-4714-b278-ac6f6e460bc5
"Leach, Edward",reed:bf86f39b-3b4d-4e24-90da-fcacb80de32e
"Streete, Humphrey",reed:007ce194-9438-47e4-8ea2-d87cccb01491
"Wandforde, William",reed:d488226b-c410-45da-b43e-de9925765c17
"Thimblebye , Richard",reed:149d90dc-fadc-40ab-90b1-24ec799590d0
"White , Thomas",reed:3df5dc0c-3eca-4beb-818b-43c5c5d10529
"Manners, Edward",reed:38d96975-47e5-42e0-b2da-f0c46ed467d2
"Ameridyth , Lewis",reed:69020702-1fa0-4e2b-888b-ad195767e84d
"Jewell, William",reed:2ed8b6c7-7220-45f9-bf87-1f1cddfed3a3
"Barker, Francis",reed:7e29b6e3-fe2c-49d6-8881-b3b1cc06493f
"Spillman, Clement",reed:1b7bde86-70ed-486c-b114-b87275b9436b
"Rider, Clare",reed:e67941a3-ce63-4d4c-b6ac-c477f20937a2
"Woodye, …",reed:b029a120-7cea-4bc2-95b9-3ba4523bc7c6
"Bush, Ralph",reed:adf065b8-0ebc-4b29-ba24-e1a01444c1b6
"Montagu , Edward",reed:077c8774-cf12-4177-8af3-e41b714d1b68
"Davenport , Humphrey",reed:a8d3829e-ada9-4d83-8597-a2bbebb4ed2c
"Malet , Thomas",reed:192c7c53-cf58-49ae-afe0-9769700a1b4d
"Middelton, William",reed:195bf898-b636-4f11-93c3-3bcc5ea9b3e2
"Priuli, Antonio",reed:ae4ab77e-5f20-4356-afa6-d56fd4d72757
"Speed, John",reed:0cdc608a-9e46-4486-83b7-41816c468b18
"Fyncham, …",reed:ce3ecc7c-8e56-4cd3-ac52-174f8fc646d1
"Beale, Robert",reed:6517622c-2c0b-4036-a3a1-61557386230f
"Wyseman, William",reed:37788447-b4de-436f-a178-fb826d0a8f7c
"Spelman, John",reed:b4d521e7-7768-43c0-b494-bf10d15de333
"Strode , Robert",reed:ccb7086b-d1f4-4324-8b02-dda58b936e8a
"Morgan, …",reed:74af89d3-be31-4e7d-b318-41aa8b89b16e
"Barret, Leonard",reed:b9f1bcee-2722-4285-b451-c0d8636e9800
"Gyfford , John",reed:e98c2bb4-f21a-4d53-a11a-3bffb93f9fe3
"Eggecombe , Richard",reed:75159346-bccc-4634-8a22-568acbba92a7
"Gravener , ...",reed:c409fdfa-ae77-43d9-9da1-382817656600
"Windebank, Francis",reed:dec6399c-6f81-4641-9f2a-b0bdb6ec002d
"Mildmay, Thomas",reed:94247ecb-edeb-4d74-9ce0-09b6a66fe055
"Lydall, Richard",reed:58ac2afa-a91a-4219-b62d-75c3f005717c
"Pope , Dudley",reed:975453bb-1089-4351-a75c-1e56f025ee3b
"Orgel, Stephen",reed:0197915f-e81e-4156-a277-e333490f3c88
"Greenwood, John",reed:6732ffba-208e-4ac5-bc86-6db480545d98
"Forster , William",reed:ddfa33db-896b-4213-8378-104978310cf4
"Bathe, …",reed:c730505e-9f70-4a19-bc3d-9515f1a92a08
"Gawdy, William",reed:007acd4c-865b-4d7d-9714-94cb3f9de3eb
"Rede , Robert",reed:d2be27fd-f143-4bc3-87e6-b49940866ff2
"Guydott, Kellaway",reed:4cf2679a-0426-4ac3-88fc-dc6f763bfcdc
"Peere, Benjamin",reed:ad8cc1ba-656a-4c57-999a-cc2878d6006d
"Vernon, Walter",reed:671d7482-0e2c-4fff-8d88-ff9eb2a1c17d
"Jenour, John",reed:aade2bc0-6638-4f23-bbc8-8bd8d114a64b
"Hodgkins, John",reed:fff15702-d69f-42d5-890e-2bccf2a4625a
"Hansbie, Ralph",reed:52e7d1bd-48bb-4cc8-be4e-904965cbf4ab
"Brooke, Christopher",reed:be98825d-2e1b-4276-aac2-04e07e5cd64f
"Ashley, Francis",reed:317b085d-696c-4091-a1be-3d3375f2b7f9
"Marschall , William",reed:8429b992-9dc6-49bf-9d81-3ef18b780586
"Limon, Jerzy",reed:0c1f5c7b-1fe3-4d93-889b-3009fddf2ad9
"Baldwin , Richard",reed:f8d474fb-2beb-451d-8262-8d1c824540d6
"Mansbridge , Thomas",reed:24704128-c6dc-443f-bc97-808f074632b1
"Gyske, Robert",reed:8d92f159-09f7-46a7-a90d-95a4304c9718
"Finet, John",reed:07140bf5-1cf4-4d88-b55d-158b4105d3c4
"Howard, Thomas",reed:154d5e0b-64b0-4988-9a99-73335c16df1c
"Blacker , William",reed:32968f1a-a630-490e-9315-18df7e3fc742
"Greene , John",reed:27d87a9a-10f4-4d06-a9a0-d7e78083ca1c
"Newdigate , Charles",reed:6aa511e8-4c51-460e-a81a-791130bfb89c
"Skinner , William",reed:9dfadcf2-6e05-43fc-8100-47ff67517f27
"Rich, Frances",reed:b05fbb44-350e-4f64-8282-b1daf53bc2e0
"Trevor , John",reed:9d5a9853-b74b-49d3-abe3-271ebd9374a2
"Rede , ...",reed:71690154-4434-4ea0-b1b5-afd08c8300ee
"Inderwick, Frederick Andrew",reed:05ffcfe8-9ed8-49c4-84ec-db89c6e90aae
"Littleton , Thomas",reed:ca0c4047-c076-4418-b5e2-639719597917
"Digges , Dudley",reed:59637916-6060-4604-bb97-100026e0b78d
"Basing, John",reed:d96c17a0-14a4-4a95-a235-2109a8c185ec
"Adderly, Charles",reed:4c7dd8c4-8c13-4655-bbb4-5aeff3164d74
"Cooke, Edward",reed:bd53192b-b0cf-44b0-9d2c-15584b4ac1f0
"Croftes, Edmund",reed:1ddac46f-0bc3-4845-a3ac-3dbf8d780498
"Lancaster, Thomas",reed:f1169202-d039-41b5-aaab-b00033969628
"Wright, Eusebius (‘Ucoby’)",reed:4755179e-b735-42fd-b238-66d6d574ce90
"Herne, John",reed:27db5d7d-c05a-42d4-a5a5-42e0241e1ddf
"Thornill, Richard",reed:d0604b44-e614-4dd0-8794-ae9720c42a8f
"Hendon, Edward or Edmund",reed:8e6a5086-cc2a-4dec-a8ab-9f53bddb4b87
"Gedney, Andrew",reed:0940acbe-dc9a-4b1f-bd55-8712b4e65e8c
"Davies, Thomas",reed:493396ef-a689-40b7-a3ca-b40e8aef27a2
"Escourt , Edmund",reed:6284a807-fb10-4e10-aaaf-02069d730564
"Wyat, ...",reed:dcf12254-5200-47e4-8067-e4e55c35a659
"Osbaldeston, Lambert",reed:b00d6206-6046-4ae9-bb35-ba2570bce75c
"Walrond , Humphrey",reed:2b401589-674e-4ea0-b562-8b0d58d044ae
"Crawley, Francis",reed:634f6605-7539-452c-9685-d2e7e44629e8
"Gipps, Richard",reed:b8600be2-591e-4129-98f6-deeeeb35b8ac
"Frost, William",reed:ce53db17-9cb5-4c1b-988c-24853ba29139
"Eric XIV",reed:57377f36-4595-4669-96c2-034733c0aaa9
"Conney , George",reed:8ca1ec9c-924a-47a7-a5cc-c4cacd599363
"Sydley, …",reed:8ff1531e-501d-42f9-a0ff-1cc4267ee8b2
"Drury , Robert",reed:5386dbbd-fc6d-439c-a262-1ee8b0bf3fea
"Harrison, John",reed:b6bf60ec-58c6-4b7c-baf8-9b74c636cbd1
"Forrest, Henry",reed:cc9bef10-82ea-454d-b56b-372a3a0ede05
"Lane, Richard",reed:57639aad-c0fc-491f-a8e9-eb0a9e86185b
"Williams, John",reed:e12fc7cf-48c7-482f-a346-a2ec5629e643
"Heke, William",reed:09787d14-bdc2-4f51-9eee-b08554a6bda4
"Orbison, Tucker",reed:9d451a75-b990-4187-a4c5-ef12c4e5c287
"White , L.",reed:cd5513fb-8518-4752-9274-be4e4a7e78cd
"Finet, John",reed:ccb6d9af-8562-4ffa-b492-0dd3a47c6e8e
"Catlin , Robert",reed:5e34ac9c-1077-4636-81f4-a3237354596e
"Glinne, William",reed:77927d98-066d-4b28-aaee-ad01d1944d8f
"Rede, Anne",reed:3f19569d-d2c8-453f-8258-98fc6a58ca4b
"Morrey , John",reed:3a1336a5-ea91-47c8-9fef-c29cd1211abd
"Walgrave , William",reed:86670876-13da-4e6b-aaa6-ea23c6127338
"Baughan, …",reed:c9e9fc34-9315-4a18-b649-4adbe00d070b
"Bray, …",reed:5c3fc976-1eaf-4308-a782-2f90c6fed2a0
"Stanley, Sir William",reed:b713fe4f-9d0f-4170-b0c6-508c52a4ac98
"More, John",reed:5243ada1-870e-4e79-90c2-a56d2c8ca550
"Quarles, Francis",reed:799d19f1-fa0c-40ad-bd07-1c5d0fedc432
"Underhill, Edward",reed:e2a85236-cc5c-48f6-9f2e-7e0e54afe1b8
"Rumsey, Edward",reed:50409f5b-e3af-40f9-a5c6-38d0fc7bb073
"Flemming, Thomas",reed:d88e552c-8202-4eec-956f-c4a8350685cc
"Haddeley, James",reed:ddac7a44-b1de-4ed2-a083-ec4c55ca6bc7
"Baldry , Thomas",reed:b4c82343-66ed-4842-9996-2faf7b4fb5c9
"Croke , George",reed:2f4583d5-55f9-4a9c-b66e-5de7d33be549
"Carr, Cecil",reed:f404dc6b-de94-49ec-a89e-d9c53a901cb0
"Debenham, Robert",reed:fd3fe250-b372-4e92-96ab-1fd5bceaa7b8
"D’Ewes , Sir Simonds",reed:a9524ef6-7dad-434b-a425-ff918d817369
"Morton, Thomas",reed:8b6ec8d6-7db1-40e0-879c-389658ff0381
"Amaria, John",reed:895583e8-c881-4e6b-a3b2-c13b1f792d15
"Burney , Bartyn",reed:8dfaaf83-e3f6-47fd-be72-4825ec483122
"Rede, Leonard",reed:9aff0306-73fc-4f43-a2ac-2842080c0151
"Prynne, William",reed:862a2c8f-1062-46bf-80d3-66d6c4c45b77
"Fish , Simon",reed:fa7242f2-6e82-44f0-9b75-17d546b244c6
"Bulstrode , Edward",reed:29e71c04-ff9e-44ff-985b-24f37755de12
"Udall, Johanna",reed:117c21de-520b-4b38-9bf1-54a2c1ef05e8
"Tregose, Richard",reed:95817925-cc28-46e5-ac21-320d1b52562d
"Vavaser, John",reed:b4c955e5-ad11-4aa1-85ba-7d5e4d9c6326
"Way, Thomas",reed:1108891c-8d75-4fc4-a009-1e4d64b1acba
"Herne , Giles",reed:b1902206-e1da-4ee3-ac43-83d0c5e1f3a2
"Fletcher, John",reed:7d5a223b-9063-4adf-9cdd-73b40dcb28ea
"Devereux, Penelope",reed:22b8f92e-f361-49cb-b9a1-1569e65eec65
"Hudesfeld , William",reed:3ebb6bf5-72b2-4df6-adca-eeaea79d697b
"Heydon, Richard",reed:3241c99f-6a81-47fa-ad11-175d74815525
"Escourt, Edmund",reed:d9e1b19a-f9c3-421d-91d2-b9fca917963c
"Bayliffe , John",reed:b86b8f8e-5c11-424e-8c0e-c2b29b3d7f40
"Bell, C.F.",reed:d8c28018-dd91-44be-bdb4-e0945639cacd
"Stuart, John",reed:3bfce03b-39a1-4232-945f-d63ef3e286b4
"Molyneux , Thomas",reed:761649c0-e66e-4d9f-a02a-dd95f919d58e
"Holles , Gervase",reed:56bde277-bc3c-48d9-ba4e-851fdb3f06cd
"Hasilwode , John",reed:b67bfa6a-a6e3-4c74-8b27-94732d93bef4
"Jones, Inigo",reed:feb95db1-58fe-4698-a501-a497e7631235
"Cecil, Thomas",reed:d48ab419-a420-4d65-a36a-041112376315
"Tufton , Richard",reed:427c6763-fcd7-41ec-8453-a0dae3feb571
"Taylor, Robert",reed:7fb55ec0-548d-4bd8-bedb-0d5682667a37
"Prouse, …",reed:eb9ea40e-4773-4ebb-851f-7c49638b7622
"Hatton, Elizabeth",reed:f3a00e60-a24e-4ca0-970b-7bbaeb64ff45
"Lawson, Thomas",reed:fd6ef518-4d36-4d94-975d-860ea3493d7b
"Adson, Thomas",reed:ece79da4-b2e8-474d-8051-77354dc4e8bc
"Covert, Thomas",reed:13697697-8b70-46f7-a1d5-41529fed7a56
"Faldo , Thomas",reed:28b3de82-a55c-44e0-b4a2-812ac873b0e2
"Altam , Edward",reed:74c1c86d-487c-4e48-a391-640b1a252a72
"Anton, ...",reed:e0d03862-0d41-4133-957e-a5bc8d594b40
"Turner , Edward",reed:1fde3894-350e-4560-a16a-152e16646658
"Clifford, George",reed:b555c6d9-1a0c-41ec-ac11-a55081310c1b
"Grimstone, William",reed:ba55720e-edaa-4d4c-8c60-669f462fba0e
"Whetston , Francis",reed:ae6d9eb0-dca0-4b73-984c-42af3a03c577
"Johnson, William",reed:f58b3c89-f761-4394-8de0-45c8ff07d8d1
"Martyn , Richard",reed:bd7ec6d8-8afd-4c13-80a7-d665916af6f8
"Warren, John",reed:16a90dd3-c3c3-40ef-ba3a-57f08c8671c6
"Juby, Edward",reed:310cace1-8ee1-4818-8d62-c1f9111a8e32
"Selden, John",reed:2be58161-d021-49b6-bcae-63de574f72b8
"Tate, John",reed:4e907352-3101-4e5a-aa7f-3c28f1a3fce8
"Thorne, Samuel E.",reed:4ed699cf-a284-4e43-8790-b325fb761e7d
"Carpenter, William",reed:e3d82254-2984-4653-8fed-4f67a53b5a5a
"Goldyng , William",reed:4fbc09f7-58f2-47f9-b3ac-f4b91ffbe0a7
"Charles the Bold",reed:558683b0-b504-48bf-a81a-e19952ca1989
"Claxton, Hammond",reed:7c94a528-7152-4143-9ef7-9aa7b2c13440
"Argent, William",reed:aa7d1788-f4ea-4af3-8e12-a7e533022b56
"Gibbs, Richard",reed:6fcbaffb-5014-4b53-86aa-06c09d930c32
"Popham, John",reed:690f668b-b6b2-4a48-a374-c1051359691c
"Marschall , John",reed:952f461c-a7e4-4b1a-b893-0f9f38dbf2b0
"Heydon, Henry",reed:95029e8c-4a12-431c-890b-df0aa5614e35
"Mills, William",reed:08ee1f54-c5dc-46c3-b3bf-43a356d2c93c
"Rutter, John",reed:a8f54300-de5a-409b-836e-4dd2bc985eec
"Goddolphyn , ...",reed:49d7aa49-0124-4717-ab45-47fad3d3adc2
"Whiteway, William",reed:2a444a70-159d-4910-a471-878181963019
"Taylor , John",reed:52003cbe-9f19-4f88-b614-25afb7b58566
"Fanshawe, Thomas",reed:bb1c625f-6007-4790-a919-8ee0a30932a9
"Morton, John",reed:b649a02e-b3b0-4624-b83b-336be274bdbb
"Fermor , William",reed:2579fc43-8b0d-49b3-a5d0-808fe21c9610
